jobtitle,jobfield,scale_e,scale_i,scale_s,scale_n,scale_t,scale_f,scale_j,scale_p,psychotype,satisfied
HR manager,Staff and training,16,22,17,16,23,11,22,15,ISTJ,1
HR manager,Staff and training,28,6,14,18,20,16,20,15,ENTJ,0
HR manager,Staff and training,28,10,22,10,16,14,22,12,ESTJ,1
HR manager,Staff and training,24,10,16,17,13,23,31,3,ENFJ,0
HR manager,Staff and training,25,12,17,13,23,11,10,25,ESTP,1
HR manager,Staff and training,25,11,23,7,21,15,12,21,ESTP,1
HR manager,Staff and training,23,9,23,11,7,28,28,9,ESFJ,1
HR manager,Staff and training,21,15,23,12,13,21,28,4,ESFJ,1
HR manager,Staff and training,10,23,21,18,18,18,25,8,ISTJ,1
HR manager,Staff and training,16,19,13,17,24,9,19,17,INTJ,1
HR manager,Staff and training,11,24,25,7,23,17,24,10,ISTJ,1
HR manager,Staff and training,26,7,31,3,27,9,23,12,ESTJ,1
HR manager,Staff and training,17,18,13,18,10,22,24,12,INFJ,1
HR manager,Staff and training,25,12,23,12,14,21,30,6,ESFJ,1
HR manager,Staff and training,16,22,15,13,8,23,10,23,ISFP,1
HR manager,Staff and training,26,12,21,13,13,15,19,16,ESFJ,1
HR manager,Staff and training,32,4,22,11,25,11,27,8,ESTJ,1
HR manager,Staff and training,29,7,14,20,15,16,13,23,ENFP,1
HR manager,Staff and training,13,22,17,10,22,11,27,9,ISTJ,1
HR manager,Staff and training,21,17,14,21,11,21,11,29,ENFP,0
HR manager,Staff and training,15,25,21,12,8,28,13,24,ISFP,0
HR manager,Staff and training,22,14,11,20,20,11,12,22,ENTP,0
HR manager,Staff and training,16,21,17,18,22,14,24,12,INTJ,1
HR manager,Staff and training,22,16,18,15,23,9,14,16,ESTP,1
HR manager,Staff and training,21,12,14,17,10,21,14,20,ENFP,1
HR manager,Staff and training,16,20,12,23,10,21,9,28,INFP,0
HR manager,Staff and training,30,6,13,20,11,29,23,13,ENFJ,1
HR manager,Staff and training,26,14,11,20,12,21,19,12,ENFJ,1
HR manager,Staff and training,11,26,21,12,17,18,24,13,ISFJ,1
HR manager,Staff and training,30,6,12,21,18,18,22,16,ENTJ,0
HR manager,Staff and training,21,12,15,20,29,6,26,5,ENTJ,0
HR manager,Staff and training,29,8,15,18,26,8,5,30,ENTP,1
HR manager,Staff and training,26,7,16,12,25,7,28,6,ESTJ,1
HR manager,Staff and training,19,17,20,15,19,19,28,8,ESTJ,1
HR manager,Staff and training,28,4,17,22,12,20,16,17,ENFP,1
HR manager,Staff and training,25,13,22,19,18,13,20,12,ESTJ,1
HR manager,Staff and training,22,18,26,11,14,21,32,7,ESFJ,1
HR manager,Staff and training,26,12,17,14,21,18,24,9,ESTJ,0
HR manager,Staff and training,14,19,11,22,9,23,15,22,INFP,1
HR manager,Staff and training,17,16,18,22,13,16,23,12,ENFJ,0
HR manager,Staff and training,16,21,10,19,21,14,22,15,INTJ,1
HR manager,Staff and training,25,11,17,17,11,29,26,10,ESFJ,1
HR manager,Staff and training,26,8,9,22,21,20,19,15,ENTJ,1
HR manager,Staff and training,12,25,14,18,31,3,29,7,INTJ,1
HR manager,Staff and training,20,15,22,9,17,19,8,27,ESFP,1
HR manager,Staff and training,16,20,21,15,19,16,6,31,ISTP,0
HR manager,Staff and training,28,6,4,30,12,21,11,28,ENFP,0
HR manager,Staff and training,7,28,21,11,33,4,25,9,ISTJ,0
HR manager,Staff and training,28,10,14,21,18,17,26,8,ENTJ,1
HR manager,Staff and training,20,17,23,14,25,8,15,23,ESTP,1
HR manager,Staff and training,9,24,21,6,18,16,23,16,ISTJ,0
HR manager,Staff and training,25,10,10,22,23,14,21,13,ENTJ,0
HR manager,Staff and training,21,16,23,10,25,11,25,11,ESTJ,0
HR manager,Staff and training,8,24,24,13,15,18,25,15,ISFJ,0
HR manager,Staff and training,15,20,26,9,13,20,25,9,ISFJ,0
HR manager,Staff and training,18,19,19,14,14,18,21,14,ISFJ,1
HR manager,Staff and training,25,13,17,19,14,16,20,15,ENFJ,1
HR manager,Staff and training,27,9,17,17,22,14,24,13,ESTJ,1
HR manager,Staff and training,21,12,14,15,12,18,26,9,ENFJ,1
