position,question,answers,question_ru,answers_ru
1,Usually you:,"['communicative', 'quite restrained and calm']",Обычно Вы:,"['общительны', 'довольно сдержанны и спокойны']"
2,"If you were a teacher, with great pleasure you would lead:","['practical lessons', 'theoretical studies']","Если бы вы были преподавателем, то с большим удовольствием бы вели:","['практические занятия', 'теоретические занятия']"
3,You more often allow:,"['feelings control your mind', 'the mind to control your feelings']",Вы чаще позволяете:,"['чувствам управлять вашим разумом', 'разуму управлять вашими чувствами']"
4,"When you decide to go somewhere for one day, you usually:","['plan what and when you will do', 'just hit the road']","Когда Вы решаете поехать куда-либо на один день, Вы обычно:","['планируете, что и когда вы будете делать', 'просто отправляетесь в путь']"
5,Being in a company you usually:,"['join the conversation', 'talk with each separately']",Находясь в компании Вы обычно:,"['присоединяетесь к общему разговору', 'беседуете с каждым отдельно']"
6,It is usually easier for you to communicate:,"['with people prone to fantasies', 'with realistic people']",Вам обычно легче общаться:,"['с людьми, склонными к фантазированию', 'с реалистичными людьми']"
7,You will consider it a compliment if you are called:,"['sensitive person', 'reasonable person']","Вы сочтете комплиментом, если Вас назовут:","['чувствительным человеком', 'разумным человеком']"
8,You prefer:,"['decide in advance that you will be at a certain meeting, party, etc.', 'decide at the last moment to be able to choose entertainment']",Вы предпочитаете:,"['заранее решать, что будете на определенной встрече, вечеринке и т.п.', 'решать в последний момент, чтобы иметь возможность выбрать себе развлечение']"
9,In a large company more often:,"['you introduce people to each other', 'you are introduced to others']",В большой компании чаще:,"['Вы представляете людей друг другу', 'Вас знакомят с другими']"
10,You can most likely be called:,"['practical person', 'fictional, romantic']",Вас скорее можно назвать:,"['человеком практичным', 'выдумщиком, романтиком']"
11,You usually:,"['value feelings more than logic', 'value logic more than feelings']",Вы обычно:,"['цените чувства больше, чем логику', 'цените логику больше, чем чувства']"
12,You tend to live and work:,"['coping with surprises and trying to quickly find solutions', 'following a carefully crafted plan']",Вы склонны жить и работать:,"['справляясь с неожиданностями и стараясь быстро найти решения', 'следуя тщательно проработанному плану']"
13,You are more likely to:,"['have deep friendships with several people', 'friendships with many']","Вы больше склонны к тому, чтобы:","['иметь глубокие дружеские отношения с несколькими людьми', 'приятельские отношения со многими']"
14,You like people who:,"['follow generally accepted standards and do not attract attention', ""so original that they don't care if they pay attention to them or not""]","Вам больше нравятся люди, которые:","['следуют общепринятым нормам и не привлекают к себе внимания', 'настолько оригинальны, что им все равно, обращают на них внимание или нет']"
15,Do you think the more serious flaw:,"['be too kind', 'not be kind enough']","Вы считаете, что более серьезный недостаток:","['быть слишком мягкосердечным', 'быть недостаточно мягкосердечным']"
16,"When you need to stick to a schedule, these are:","['disciplines you', 'reduces your performance']","Когда Вам надо придерживаться расписания, это:","['дисциплинирует Вас', 'снижает Вашу результативность']"
17,Among your friends you:,"['later on you will learn about events from their life', 'usually know a lot of news about them']",Среди своих друзей Вы:,"['позже других узнаете о событиях из их жизни', 'обычно знаете массу новостей о них']"
18,Would you rather have among your friends a person who:,"['always full of new ideas', 'looks at the world soberly and realistically']","Вы бы предпочли иметь среди своих друзей человека, который:","['всегда полон новых идей', 'трезво и реалистично смотрит на мир']"
